id,pop,ocean
GE-AA018,AC,Indian
GE-AA019,AC,Indian
GE-AA020,AC,Indian
GE-AA027,AC,Indian
GE-AA028,AC,Indian
GE-AA029,AC,Indian
GE-AA030,AC,Indian
GE-AA031,AC,Indian
GE-AA032,AC,Indian
GE-AA033,AC,Indian
GE-AA034,AC,Indian
GE-AA035,AC,Indian
GE-AA036,AC,Indian
GE-AA037,AC,Indian
GE-AA038,AC,Indian
GE-AA040,AC,Indian
GE-AA041,AC,Indian
GE-AA042,AC,Indian
GE-AA043,AC,Indian
GE-AA044,AC,Indian
GE-AA045,AC,Indian
GE-AA046,AC,Indian
GE-AA047,AC,Indian
GE-AA048,AC,Indian
GE-AA049,AC,Indian
GE-AA050,AC,Indian
GE-AA051,AC,Indian
GE-AA052,AC,Indian
GE-AA053,AC,Indian
GE-AA054,AC,Indian
GE-AA055,AC,Indian
GE-AA056,AC,Indian
GE-AA057,AC,Indian
GE-AA058,AC,Indian
GE-AA059,AC,Indian
GE-AA060,AC,Indian
GE-AA061,AC,Indian
GE-AA062,AC,Indian
GE-AA063,AC,Indian
GE-AA064,AC,Indian
GE-AA065,AC,Indian
GE-AA066,AC,Indian
GE-AA067,AC,Indian
GE-AA114,AA,Indian
GE-AA115,AA,Indian
GE-AA118,AA,Indian
GE-AA119,AA,Indian
GE-AA120,AA,Indian
GE-AA121,AA,Indian
GE-AA128,AA,Indian
GE-AA131,AA,Indian
GE-AA134,AA,Indian
GE-AA138,AA,Indian
GE-AC002,AC,Indian
GE-AC003,AC,Indian
GE-AC004,AC,Indian
GE-AC005,AC,Indian
GE-AC006,AC,Indian
GE-AC007,AC,Indian
GE-AC008,AC,Indian
GE-AC009,AC,Indian
GE-AC010,AC,Indian
GE-AC011,AC,Indian
GE-AC012,AC,Indian
GE-AC013,AC,Indian
GE-AC014,AC,Indian
GE-AC015,AC,Indian
GE-AC016,AC,Indian
GE-AC017,AC,Indian
GE-AC018,AC,Indian
GE-AC019,AC,Indian
GE-AC020,AC,Indian
GE-AC021,AC,Indian
GE-AC022,AC,Indian
GE-AC023,AC,Indian
GE-AC024,AC,Indian
GE-AC025,AC,Indian
GE-AC026,AC,Indian
GE-AC027,AC,Indian
GE-AC028,AC,Indian
GE-AC029,AC,Indian
GE-AC030,AC,Indian
GE-AC031,AC,Indian
GE-AC032,AC,Indian
GE-AC033,AC,Indian
GE-AC034,AC,Indian
GE-AC035,AC,Indian
GE-AC036,AC,Indian
GE-AC037,AC,Indian
GE-AC038,AC,Indian
GE-AC039,AC,Indian
GE-AC040,AC,Indian
GE-AC041,AC,Indian
GE-AC042,AC,Indian
GE-AC043,AC,Indian
GE-AC044,AC,Indian
GE-AC045,AC,Indian
GE-AC046,AC,Indian
GE-AC047,AC,Indian
GE-AC048,AC,Indian
GE-AC049,AC,Indian
GE-AC050,AC,Indian
GE-AC051,AC,Indian
GE-AC052,AC,Indian
GE-AC053,AC,Indian
GE-AC054,AC,Indian
GE-AC055,AC,Indian
GE-AC056,AC,Indian
GE-AC057,AC,Indian
GE-AC058,AC,Indian
GE-AC059,AC,Indian
GE-AC060,AC,Indian
GE-AC061,AC,Indian
GE-AC062,AC,Indian
GE-AC063,AC,Indian
GE-AC064,AC,Indian
GE-AC065,AC,Indian
GE-AC066,AC,Indian
GE-AC067,AC,Indian
GE-AC068,AC,Indian
GE-AC069,AC,Indian
GE-AC070,AC,Indian
GE-AC071,AC,Indian
GE-AC072,AC,Indian
GE-AC073,AC,Indian
GE-AC074,AC,Indian
GE-AC075,AC,Indian
GE-AC076,AC,Indian
GE-AC077,AC,Indian
GE-AC078,AC,Indian
GE-AC079,AC,Indian
GE-AC080,AC,Indian
GE-AC081,AC,Indian
GE-AC082,AC,Indian
GE-AC083,AC,Indian
GE-AC084,AC,Indian
GE-AC085,AC,Indian
GE-AC086,AC,Indian
GE-AC087,AC,Indian
GE-AC088,AC,Indian
GE-AC089,AC,Indian
GE-AC090,AC,Indian
GE-AC091,AC,Indian
GE-AC092,AC,Indian
GE-BA004,BA,Indian
GE-BA006,BA,Indian
GE-BA011,BA,Indian
GE-BA012,BA,Indian
GE-BB001,BB,Indian
GE-BB002,BB,Indian
GE-BB005,BB,Indian
GE-BB006,BB,Indian
GE-BB007,BB,Indian
GE-BB008,BB,Indian
GE-BB009,BB,Indian
GE-BB010,BB,Indian
GE-BB011,BB,Indian
GE-BB012,BB,Indian
GE-BB013,BB,Indian
GE-BB014,BB,Indian
GE-BB015,BB,Indian
GE-BB016,BB,Indian
GE-BB017,BB,Indian
GE-BB018,BB,Indian
GE-BB019,BB,Indian
GE-BB020,BB,Indian
GE-BB021,BB,Indian
GE-BB022,BB,Indian
GE-BB023,BB,Indian
GE-BB024,BB,Indian
GE-BB025,BB,Indian
GE-BB026,BB,Indian
GE-BB027,BB,Indian
GE-BB028,BB,Indian
GE-BB029,BB,Indian
GE-BB030,BB,Indian
GE-BB031,BB,Indian
GE-BB032,BB,Indian
GE-BB033,BB,Indian
GE-BB034,BB,Indian
GE-BB035,BB,Indian
GE-BB036,BB,Indian
GE-BB037,BB,Indian
GE-BB038,BB,Indian
GE-BB039,BB,Indian
GE-BB040,BB,Indian
GE-BB041,BB,Indian
GE-BB042,BB,Indian
GE-BB043,BB,Indian
GE-BB044,BB,Indian
GE-BB045,BB,Indian
GE-BB046,BB,Indian
GE-BB047,BB,Indian
GE-BB048,BB,Indian
GE-BB049,BB,Indian
GE-BB050,BB,Indian
GE-BB069,BB,Indian
GE-BB070,BB,Indian
GE-BB071,BB,Indian
GE-BB072,BB,Indian
GE-BB073,BB,Indian
GE-BB075,BB,Indian
GE-BB076,BB,Indian
GE-BC002,BC,Indian
GE-BC003,BC,Indian
GE-BC004,BC,Indian
GE-BC005,BC,Indian
GE-BC006,BC,Indian
GE-BC007,BC,Indian
GE-BC009,BC,Indian
GE-BC010,BC,Indian
GE-BC011,BC,Indian
GE-BC012,BC,Indian
GE-BC013,BC,Indian
GE-BC014,BC,Indian
GE-BC015,BC,Indian
GE-BC016,BC,Indian
GE-BC019,BC,Indian
GE-BC020,BC,Indian
GE-BC021,BC,Indian
GE-BC022,BC,Indian
GE-BC023,BC,Indian
GE-BC024,BC,Indian
GE-BC025,BC,Indian
GE-BC026,BC,Indian
GE-BC027,BC,Indian
GE-BC028,BC,Indian
GE-BC029,BC,Indian
GE-BC030,BC,Indian
GE-BC031,BC,Indian
GE-BC032,BC,Indian
GE-BC033,BC,Indian
GE-BC034,BC,Indian
GE-BC037,BC,Indian
GE-BC052,BC,Indian
GE-BC060,BC,Indian
GE-BC068,BC,Indian
GE-BC071,BC,Indian
GE-BC073,BC,Indian
GE-BC076,BC,Indian
GE-BC079,BC,Indian
GE-BC082,BC,Indian
GE-BC084,BC,Indian
GE-BD002,BD,Indian
GE-BD003,BD,Indian
GE-BD004,BD,Indian
GE-BD005,BD,Indian
GE-BD008,BD,Indian
GE-BD014,BD,Indian
GE-BD087,BD,Indian
GE-BD094,BD,Indian
GE-BE001,BE,Indian
GE-BE003,BE,Indian
GE-BE004,BE,Indian
GE-BE005,BE,Indian
GE-BE006,BE,Indian
GE-BE007,BE,Indian
GE-BE008,BE,Indian
GE-BE009,BE,Indian
GE-BE010,BE,Indian
GE-BE011,BE,Indian
GE-BE012,BE,Indian
GE-BE013,BE,Indian
GE-BE014,BE,Indian
GE-BE015,BE,Indian
GE-BE016,BE,Indian
GE-BE017,BE,Indian
GE-BE018,BE,Indian
GE-BE019,BE,Indian
GE-BE020,BE,Indian
GE-BE021,BE,Indian
GE-BE022,BE,Indian
GE-BE023,BE,Indian
GE-BE024,BE,Indian
GE-BE025,BE,Indian
GE-BE026,BE,Indian
